"filename", "language", "TypeScript", "TypeScript JSX", "Markdown", "CSS", "comment", "blank", "total"
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\collapsible.tsx", "TypeScript JSX", 0, 5, 0, 0, 0, 5, 10
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\command.tsx", "TypeScript JSX", 0, 136, 0, 0, 0, 18, 154
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\context-menu.tsx", "TypeScript JSX", 0, 181, 0, 0, 0, 18, 199
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\currency-selector.tsx", "TypeScript JSX", 0, 197, 0, 0, 3, 8, 208
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\date-range-picker.tsx", "TypeScript JSX", 0, 65, 0, 0, 0, 2, 67
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 108, 0, 0, 0, 13, 121
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\drawer.tsx", "TypeScript JSX", 0, 104, 0, 0, 0, 13, 117
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 181, 0, 0, 0, 18, 199
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\form.tsx", "TypeScript JSX", 0, 152, 0, 0, 0, 25, 177
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\formatted-price.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 4, 27
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\hover-card.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 6, 28
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\image-upload.tsx", "TypeScript JSX", 0, 128, 0, 0, 9, 15, 152
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\input-otp.tsx", "TypeScript JSX", 0, 62, 0, 0, 0, 8, 70
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\input.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 4, 23
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\label.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 5, 25
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\menubar.tsx", "TypeScript JSX", 0, 216, 0, 0, 0, 19, 235
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\navigation-menu.tsx", "TypeScript JSX", 0, 117, 0, 0, 0, 12, 129
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\pagination.tsx", "TypeScript JSX", 0, 107, 0, 0, 0, 11, 118
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\popover.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 6, 30
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\progress.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 4, 27
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\radio-group.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, 5, 43
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\resizable.tsx", "TypeScript JSX", 0, 38, 0, 0, 0, 6, 44
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 5, 47
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\select.tsx", "TypeScript JSX", 0, 145, 0, 0, 0, 14, 159
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\separator.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 4, 30
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 116, 0, 0, 0, 16, 132
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\sidebar.tsx", "TypeScript JSX", 0, 696, 0, 0, 12, 54, 762
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 13, 0, 0, 0, 3, 16
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\slider.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 4, 27
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\sonner.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 5, 30
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\switch.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 4, 28
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\table.tsx", "TypeScript JSX", 0, 107, 0, 0, 0, 11, 118
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 7, 54
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 5, 25
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\toast.tsx", "TypeScript JSX", 0, 115, 0, 0, 0, 13, 128
"d:\proyectos\proyectos\plate-perfect-order\src\components\ui\toaster.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 3, 34
